100,100,3143000,1923000
100,200,6140000,3782000
100,300,8930000,5591000
100,400,11946000,7414000
100,500,15094000,9428000
100,600,17841000,11317000
100,700,21109000,12971000
100,800,24185000,15129000
100,900,27426000,16985000
100,1000,30131000,18536000
200,100,5950000,3818000
200,200,12104000,7636000
200,300,17816000,11361000
200,400,24032000,14945000
200,500,30056000,18736000
200,600,36137000,22859000
200,700,42326000,26167000
200,800,48293000,30382000
200,900,54522000,33923000
200,1000,60382000,37898000
300,100,9083000,5783000
300,200,18682000,11755000
300,300,27978000,17510000
300,400,36826000,22979000
300,500,45896000,29152000
300,600,55619000,34829000
300,700,65175000,40366000
300,800,73738000,46557000
300,900,83473000,52186000
300,1000,92388000,58418000
400,100,12337000,7931000
400,200,24730000,15928000
400,300,37815000,24102000
400,400,50191000,31893000
400,500,62740000,40051000
400,600,75287000,47519000
400,700,87929000,55489000
400,800,101107000,63846000
400,900,113297000,71883000
400,1000,125761000,79581000
500,100,15642000,10196000
500,200,31178000,20076000
500,300,47233000,30189000
500,400,63352000,40205000
500,500,78989000,50483000
500,600,94668000,60604000
500,700,110661000,71233000
500,800,127139000,81140000
500,900,142632000,91278000
500,1000,158016000,101628000
600,100,18911000,12301000
600,200,38055000,24668000
600,300,56871000,36838000
600,400,76424000,48888000
600,500,95419000,61214000
600,600,116360000,73462000
600,700,134443000,86266000
600,800,153156000,98871000
600,900,172385000,111147000
600,1000,191627000,123185000
700,100,22234000,14478000
700,200,44454000,28605000
700,300,67896000,43387000
700,400,90115000,57850000
700,500,114510000,72491000
700,600,134398000,86848000
700,700,158296000,101239000
700,800,179490000,115755000
700,900,202525000,130944000
700,1000,225567000,144561000
800,100,25710000,16626000
800,200,51211000,33078000
800,300,76972000,49383000
800,400,102629000,66095000
800,500,128845000,83142000
800,600,154649000,99899000
800,700,180940000,116388000
800,800,206148000,133096000
800,900,231660000,149752000
800,1000,257570000,166621000
900,100,28741000,18634000
900,200,57702000,37419000
900,300,87547000,56238000
900,400,115968000,75374000
900,500,145737000,94224000
900,600,174267000,113275000
900,700,203596000,132209000
900,800,232098000,150225000
900,900,261068000,169344000
900,1000,290077000,188207000
1000,100,32204000,20809000
1000,200,64314000,41780000
1000,300,98294000,62871000
1000,400,131113000,83890000
1000,500,162121000,104613000
1000,600,194706000,126018000
1000,700,228273000,146930000
1000,800,260106000,168199000
1000,900,292932000,188575000
1000,1000,325991000,209178000
100,5,157000,116000
200,5,315000,232000
300,5,465000,351000
400,5,653000,485000
500,5,824000,615000
600,5,997000,747000
700,5,1167000,875000
800,5,1339000,1005000
900,5,1480000,1100000
1000,5,1625000,1211000
